model,seed,train_accuracy,val_accuracy,test_accuracy,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tn,fp,fn,tp,roc_auc,pr_auc
decision_tree_classifier,16.289055630494154,2.511419675443088e-05,0.0032598188690583243,0.003467762572247277,0.0028680845760468937,0.004582476840933508,0.014130950644501367,0.0011029667959022052,0.008091537379229796,0.002175220269698732,28.29016319029169,28.29016319029167,6.244997998398398,6.244997998398398,0.006904239842418625,0.004250044546638859
gradient_boosting_classifier,16.289055630494154,0.0007600935184700562,0.002064716914403556,0.00131347154406225,0.0016953568693367554,0.0012979879969571059,0.0036818755223936455,0.0005677411256912982,0.002564889273147745,0.0008821928710227621,7.371114795832016,7.371114795831991,3.2145502536643145,3.214550253664448,0.0004404746635364051,0.0001484738954926148
logistic_regression,16.289055630494154,0.0001527636949968859,0.004257356381962486,0.003459570350616656,0.00688425722056133,0.0023677844619880853,0.006632895200480312,0.0025735891904385224,0.006490573319268079,0.0023586291355773966,13.27905619136141,13.279056191361391,14.571661996262932,14.57166199626281,0.0010248070067212886,0.0003235958706612754
perceptron,16.289055630494154,0.07748268190303609,0.0737719387733536,0.07567515980212437,0.045837673663569736,0.09504393856185117,0.34192271660994006,0.018671525754414352,0.2409330561853155,0.04398743784637356,684.5292786530999,684.5292786530999,105.71817882149377,105.71817882149372,0.0012502284705667001,0.0004069720132412904
random_forest_classifier,16.289055630494154,2.511419675443088e-05,0.0037754081016545564,0.002121389770051682,0.00556098965834992,0.0005077158281415243,0.0013215541014308721,0.002474726192980527,0.0036007624534084167,0.0015004989685920254,2.6457513110645907,2.6457513110645907,14.011899704655796,14.01189970465571,0.0011423554451074232,0.0004262683922543084
ridge_classifier,16.289055630494154,0.0006167056800537669,0.004371818316325924,0.0019802631241879042,0.005006344748300084,0.0008044897415862141,0.002177272199570807,0.002069751069262546,0.003503200034942508,0.0013791490474574183,4.358898943540674,4.358898943540674,11.71893055416463,11.718930554164675,0.0009327379481651922,0.00030819453524538276
sgd_classifier,16.289055630494154,0.001104168159467393,0.0037300289515741695,0.0030104840780569974,0.021375944698812727,0.006170992063570025,0.0180189800312603,0.009774704416829108,0.004141074922334493,0.0022784518918274486,36.073998022583154,36.073998022583154,55.344376408086845,55.344376408086845,0.0009749613463625141,0.0003088846116563507
support_vector_machine_classifier,16.289055630494154,0.0004582910849908764,0.0032598188690583173,0.002790364462829831,0.005677937884771015,0.0017160160231133748,0.0047474450314295355,0.002170294194179439,0.005155298788110998,0.0019128643086663445,9.504384952922198,9.504384952922171,12.288205727444508,12.288205727444508,0.001143712692892866,0.00036507135640757865
x_gradient_boosting_classifier,16.289055630494154,2.511419675443088e-05,0.0032936002777304236,0.003763623460818392,0.004893341230006096,0.0034837778021714577,0.009766906011363579,0.0016410408412535309,0.007210837268644229,0.002545425071062355,19.553345834749944,19.55334583474995,9.291573243177568,9.291573243177602,0.0008901921331418969,0.0002875059566207759
std_across_models,0.0,0.02569840477308448,0.02343327423649432,0.02432554064636274,0.01423911325390119,0.03086510309145523,0.11159394943581252,0.005947100734822032,0.07863461025358892,0.014046407309391253,223.41108677049664,223.41108677049667,33.672484360562244,33.67248436056222,0.0019899677572561033,0.0013118525444458763
